"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
121,33.5,7,"MAT","her-47d3",1003505.4988,300549896.8906,299.5
111,27,8,"MAT","her-47d3",7909055.292,1423629952.56,180
91,27.5,8,"MAT","her-47d3",1152755.1308,190780974.1474,165.5
111,27.5,8,"MAT","her-47d3",3102234.2148,508766411.2272,164
121,27.5,8,"MAT","her-47d3",475251.1351,79842190.6968,168
91,28,8,"MAT","her-47d3",1542420.855,294602383.305,191
111,28,8,"MAT","her-47d3",7089628.3644,1413199253.9704,199.333333333333
91,28.5,8,"MAT","her-47d3",2231886.617,492800565.0336,220.8
111,28.5,8,"MAT","her-47d3",11685264.5385,2383793965.854,204
121,28.5,8,"MAT","her-47d3",4674804.126,954595002.5292,204.2
91,29,8,"MAT","her-47d3",2199691.287,534524982.741,243
111,29,8,"MAT","her-47d3",11946953.3121,2723905355.1588,228
121,29,8,"MAT","her-47d3",473989.1553,109017505.719,230
91,29.5,8,"MAT","her-47d3",4533851.3154,1077820108.161,237.727272727273
111,29.5,8,"MAT","her-47d3",36039073.824,8664060303.392,240.407407407407
121,29.5,8,"MAT","her-47d3",10852650.036,2702309858.964,249
41,30,8,"MAT","her-47d3",165225.1404,38001782.292,230
42,30,8,"MAT","her-47d3",303863.7014,69888651.322,230
111,30,8,"MAT","her-47d3",22973875.3134,5806984836.5694,252.764705882353
121,30,8,"MAT","her-47d3",4580913.594,1123698104.6082,245.3
91,30.5,8,"MAT","her-47d3",836027.2158,230743511.5608,276
111,30.5,8,"MAT","her-47d3",29358602.1191,8425918808.1817,287
121,30.5,8,"MAT","her-47d3",7936550.532,2179024040.508,274.555555555556
111,31,8,"MAT","her-47d3",20595145.5088,6069131942.1245,294.6875
121,31,8,"MAT","her-47d3",2924780.4019,851111096.9529,291
91,31.5,8,"MAT","her-47d3",1410527.4748,397768747.8936,282
111,31.5,8,"MAT","her-47d3",16471271.2788,5052562464.7719,306.75
