strata,length,age,maturity,stock,number,biomass_g,meanW_g
41,18,1,IMM,her-3a22,1324364.078,59154928.84,44.66666667
41,18.5,1,IMM,her-3a22,1884549.085,91505327.8,48.55555556
41,19,1,IMM,her-3a22,393305.05,20845167.65,53
41,19.5,1,IMM,her-3a22,2975856.383,170007795.3,57.12903226
41,20,1,IMM,her-3a22,5443812.619,338156830.9,62.11764706
41,20.5,1,IMM,her-3a22,835945.5405,59352133.38,71
41,21,1,IMM,her-3a22,1642825.035,110397842.4,67.2
41,21.5,1,IMM,her-3a22,1489872.802,116210078.6,78
41,18,2,IMM,her-3a22,110363.6732,4414546.928,40
41,18.5,2,IMM,her-3a22,942274.5426,44286903.5,47
41,19,2,IMM,her-3a22,589957.575,33430929.25,56.66666667
41,19.5,2,IMM,her-3a22,287986.1016,18911087.34,65.66666667
41,20,2,IMM,her-3a22,2988759.869,188505354.6,63.07142857
41,20.5,2,IMM,her-3a22,8837138.571,585281299.1,66.22972973
41,21,2,IMM,her-3a22,8104603.506,567431767.1,70.01351351
41,21.5,2,IMM,her-3a22,11648096.45,891214821.6,76.51162791
41,22,2,IMM,her-3a22,12333100.26,1052157605,85.31168831
41,22.5,2,IMM,her-3a22,8764477.53,781061022.5,89.11666667
41,23,2,IMM,her-3a22,7327108.773,701122897.3,95.68888889
41,23.5,2,IMM,her-3a22,6250386.832,659572070.4,105.525
41,24,2,IMM,her-3a22,349442.6994,40185910.43,115
41,24.5,2,IMM,her-3a22,3804938.208,459997003.4,120.8947368
41,25,2,IMM,her-3a22,2031069.736,279364410.1,137.5454545
41,25.5,2,IMM,her-3a22,148296.1928,21206355.57,143
41,26,2,IMM,her-3a22,156197.734,23585857.83,151
41,18.5,3,IMM,her-3a22,104697.1714,4816069.884,46
41,20,3,IMM,her-3a22,320224.2717,21134801.93,66
41,20.5,3,IMM,her-3a22,835945.5405,61501707.62,73.57142857
41,21,3,IMM,her-3a22,1533303.366,102950368.9,67.14285714
41,21.5,3,IMM,her-3a22,7313921.028,530259274.5,72.5
41,22,3,IMM,her-3a22,3203402.664,254029831.3,79.3
41,22.5,3,IMM,her-3a22,5989059.646,496215502.8,82.85365854
41,23,3,IMM,her-3a22,3093668.149,278104484.1,89.89473684
41,23.5,3,IMM,her-3a22,2968933.745,292518103.7,98.52631579
